,Remainder
n,427
j,352
l,294
s,289
x,265
luvv,261
aj,169
č,156
š,154
xuvv,142
juvv,98
uvv,89
luvn,89
t,83
laht',80
nedd,63
ell,61
jes',55
xell,53
as,50
sell,50
xeln,49
eln,48
aht',47
ej,46
mušš,45
nennt,44
seln,40
ennt,40
as's't,38
d,38
a,36
edd,36
jeɲɲe,36
tell,36
teln,35
e,35
ant,34
eč,33
es',30
enč,26
uvn,23
dell,23
jalaš,23
xaht',22
deln,21
tedd,20
vudd,19
ušš,19
čedd,18
edn,16
suvv,15
xuvn,15
tuvv,14
emušš,13
nell,13
lennt,12
sas's't,11
es't,11
eɲɲe,10
neln,10
saht',10
nedn,10
negg,9
šuvv,9
leɲɲe,9
el't,9
el',8
eš't,8
sennt,8
an,8
dedd,8
užn,8
las's't,8
ledd,7
m,7
užs,7
aš,7
seɲɲe,7
les,7
xess,7
jenč,7
tedn,6
suvn,6
jennt,6
loag'g',6
-l'aannč,6
eluvv,6
jas's't,6
ja,6
emploag'g',6
sš,5
-ɲe,5
xas's't,5
ed,5
eddmušš,5
nas's't,5
tas's't,5
ess,5
sa,5
šennt,5
juvn,5
naht',4
dedn,4
es,4
čedn,4
en',4
tuvn,4
lenč,4
les',4
la,4
duvv,4
lemušš,4
muss,4
das's't,4
se,4
ledn,4
egg,4
ev,4
xem',4
eš,4
xanna,3
-p'eel'l',3
elaht',3
uvs,3
k,3
nehk',3
alaš,3
segg,3
jušš,3
xemes',3
šeɲɲe,3
šaht',3
kennt,3
šedd,3
-nalla,3
nel'l'e,3
nej,2
xedd,2
jedd,2
nentn,2
ex,2
geɲɲe,2
alt,2
evudd,2
asxuvv,2
ɲušš,2
daht',2
temušš,2
lahč,2
šej,2
jaht',2
eš',2
eluvn,2
entn,2
šes',2
em',2
teɲɲe,2
šas's't,2
less,2
l'enč,2
šuvn,2
asluvv,2
legg,2
neds,2
edas's't,2
esm,2
uššmušš,2
ma,2
tl,2
em,2
jeɲ'ɲ'e,2
nušš,1
xtluvn,1
-parna,1
ves',1
šušš,1
lešš,1
e-l'aannč,1
as't,1
nad'd'ej,1
e2,1
e-kut'e,1
-luem,1
čaddej,1
tt,1
edell,1
čas's't,1
e-lɨše,1
xuššej,1
ast,1
ešš,1
e-čuuje,1
Js,1
-s'eeg'g',1
xužn,1
emploagant,1
asluvn,1
nedx,1
aslaht',1
xellmušš,1
ɲes't,1
xej,1
el'vudd,1
xtluvv,1
ax,1
j-p'eel'l',1
-kaar'r',1
ɲedd,1
e-keske,1
e-nalla,1
ged'd'e,1
ta,1
eds,1
tess,1
lseln,1
alla,1
šemušš,1
edluvn,1
ɲ'aht',1
ač,1
nemušš,1
xuv'v',1
ls,1
l'sas's't,1
e-čuulme,1
-muurr,1
e-efte,1
eddluvv,1
ar,1
ts,1
aht'em',1
ploag'g',1
xužxuvv,1
asm,1
es'-al'ex',1
jess,1
šem,1
dels,1
e-leg'g'e,1
udd,1
e-nalšem,1
al,1
e-kus'ke,1
mes,1
es'en',1
deds,1
edeln,1
e-kaaxce,1
ɨggsa,1
uvnel'l'e,1
dennt,1
deddmušš,1
kenteš,1
Jn,1
rešš,1
edant,1
ln,1
-kaag'er',1
jxuvv,1
deɲɲe,1
eɲ,1
l's,1
-kaal'l'es',1
nenntej,1
ed',1
edx,1
tellmušš,1
ɨjjmjenč,1
duvn,1
xenč,1
jaluvv,1
tennt,1
all,1
-čofta,1
suvvz,1
tj,1
tušš,1
les't,1
e-kolme,1
tx,1
xužx,1
vužn,1
šell,1
sellmušš,1
'aht',1
xušš,1
-čalma,1
xužs,1
es'vudd,1
edluvv,1
annt,1
lč,1
ejalaš,1
xennt,1
ehk',1
luvs,1
ɨdž'me,1
-aaka,1
v'es',1
še-nalla,1
al'l'ej,1
keɲɲe,1
tužn,1
šeln,1
xuššs,1
emplog'g',1
xel'mes',1
e-ɲ'e,1
tlas's't,1
xal'l'ej,1
-nalšem,1
e1,1
-tala,1
lušš,1
asvudd,1
naddej,1
xuššl,1
š',1
alvudd,1
čes',1
ɨjjma,1
els,1
užx,1
x',1
jej,1
muvn,1
tas,1
jedn,1
e-kude,1
lsell,1
aluvv,1
tej,1
jaluvn,1
šeds,1
xel'l',1
ness,1
vušš,1
muvv,1
telant,1
ee,1
daj,1
kenč,1
',1
mes',1
daht,1
xt,1
